variable,type,id,coefficient
age,0,AGE,-0.007545978
race,1,1b.RACE,0
race,1,2.RACE,-0.019438812
race,1,3.RACE,-0.063070195
race,1,4.RACE,-0.283479625
race,1,5.RACE,0.567877565
race,1,6.RACE,-0.195391512
gender,1,0b.FEMALE,0
gender,1,1.FEMALE,0.12736227
inc,1,1b.ZIPINC_QRTL,0
inc,1,2.ZIPINC_QRTL,-0.076824125
inc,1,3.ZIPINC_QRTL,0.105529186
inc,1,4.ZIPINC_QRTL,-0.085018088
# flick 20250409213608-KG6d
# flick 20250409214213-A9cr
# flick 20250409214630-S9xh
# flick 20250409230555-vwvu
# flick 20250410003324-sAQo
# flick 20250410004926-lW6G
# flick 20250410014857-ULib
# flick 20250410031442-QRG1
# flick 20250410133822-etRx
# flick 20250410140620-BJXR
# flick 20250410151211-BYqx
# flick 20250410152045-c7Po
# flick 20250410154332-Fgz0
# flick 20250410154740-KwuH
# flick 20250410205354-baiD
# flick 20250413132131-2Wk2
# flick 20250413215354-zIig
# flick 20250414041741-QsZZ
# flick 20250414181111-Ojlq
# flick 20250415191552-ZGE1
# flick 20250415193726-7YSI
# flick 20250415205657-1CN6
# flick 20250415212836-EuGG
# flick 20250416023209-pBR2
# flick 20250416041431-8E7b
# flick 20250416150450-kfUU
# flick 20250416151120-wa0p
# flick 20250416163100-SwNl
# flick 20250416165919-ESnY
# flick 20250416211332-j8f7
# flick 20250416212947-7Bds
# flick 20250416213542-gIFB
# flick 20250416222859-XJS9
# flick 20250416223540-KtpF
# flick 20250416234857-qRHw
# flick 20250417002613-mzcd
# flick 20250417140108-xbQr
# flick 20250417184542-O1ie
# flick 20250417185033-ugh9
# flick 20250417212533-jVmC
# flick 20250418022424-Cy4q
# flick 20250418032006-e70D
# flick 20250422003908-qE3m
# flick 20250422040656-sjGI
# flick 20250422042016-2Cqg
# flick 20250422211721-bY3q
# flick 20250422214553-kVyD
# flick 20250423001645-aavX
# flick 20250423014101-pMfq
# flick 20250423163826-jzz4
# flick 20250423175007-Dv1S
# flick 20250423181653-EwSS
# flick 20250423195658-CBjW
# flick 20250423200930-KYc0
# flick 20250428112848-fvLl
