Variable,Type,id,coefficient
gender,1,0b.female,0
gender,1,1.female,0.329040163
pre_hx_htn,1,0b.htn,0
pre_hx_htn,1,1.htn,0.011385555
hxsmk,1,0b.smoke,0
hxsmk,1,1.smoke,0.021813418
no_college,1,0b.not_college_bin,0
no_college,1,1.not_college_bin,-0.030825941
insurance,1,0b.insurance_pre,0
insurance,1,1.insurance_pre,0.484185183
adi,1,0b.adi_bin,0
adi,1,1.adi_bin,-0.204554861
race,1,0b.race_howell,0
race,1,1.race_howell,0.159811014
race,1,2.race_howell,-0.214642554
race,1,3.race_howell,-0.307328564
age,0,age,0.123048319
bmi,0,bmi,0.115164458
sbp,0,sbp,-0.030059296
dbp,0,dbp,0.119894905
egfr,0,egfr_pre,0.066931713
income,0,income,-0.031254524
# flick 20250409213608-IHDj
# flick 20250409214214-OnpA
# flick 20250409214630-F4Uc
# flick 20250409230600-D4bs
# flick 20250410002731-SK6G
# flick 20250410003640-DUEQ
# flick 20250410010501-7WVT
# flick 20250410013802-8Qgk
# flick 20250410021548-wkKj
# flick 20250410023040-9rcJ
# flick 20250410031042-vv60
# flick 20250410032335-2EQf
# flick 20250410133824-ZFix
# flick 20250410134052-3pbM
# flick 20250410152047-eWqp
# flick 20250410153406-uuku
# flick 20250410162339-oyde
# flick 20250413011142-Nnse
# flick 20250413124136-Z59Y
# flick 20250413172302-ILd3
# flick 20250413214016-mYL4
# flick 20250414042550-N8rm
# flick 20250414182649-KWQH
# flick 20250415191554-TenH
# flick 20250415193511-tDp9
# flick 20250415194337-Fdsv
# flick 20250415195127-EFwV
# flick 20250415210425-sLed
# flick 20250415220600-PX1l
# flick 20250415230808-vQkW
# flick 20250415233205-7dMI
# flick 20250416020254-8mly
# flick 20250416041429-Fn0W
# flick 20250416160320-IbrE
# flick 20250416161509-LH9Q
# flick 20250416163100-EeiN
# flick 20250416185336-gEKv
# flick 20250416213542-GHs8
# flick 20250416214305-zqX6
# flick 20250416215310-QI0G
# flick 20250416222354-hqJU
# flick 20250416222628-q6X5
# flick 20250416222900-JiRW
# flick 20250416223140-cFi6
# flick 20250416224615-BffU
# flick 20250416230555-Rxvv
# flick 20250416232107-Asli
# flick 20250416234859-kl4X
# flick 20250417000352-OzAB
# flick 20250417141942-NxaM
# flick 20250417183513-MBgQ
# flick 20250417183916-c9d3
# flick 20250417184544-NsIs
# flick 20250417190018-LzDm
# flick 20250417192642-IuQo
# flick 20250417193143-Vux6
# flick 20250417210323-U0TQ
# flick 20250417215302-W6OQ
# flick 20250418022426-drl9
# flick 20250418022523-GRfW
# flick 20250418025025-rkrC
# flick 20250418030104-ofh9
# flick 20250418040652-b6gs
# flick 20250422034843-wy1d
# flick 20250422040656-zXdN
# flick 20250422042013-m9rv
# flick 20250422215639-DfHo
# flick 20250422231553-aryE
# flick 20250422235231-MYpO
# flick 20250423011736-1tnS
# flick 20250423171403-MXa7
# flick 20250423195657-FtkB
# flick 20250423195954-eStK
# flick 20250428113618-oM9u
