,AGE,1b.RACE,2.RACE,3.RACE,4.RACE,5.RACE,6.RACE,0b.FEMALE,1.FEMALE,1b.ZIPINC_QRTL,2.ZIPINC_QRTL,3.ZIPINC_QRTL,4.ZIPINC_QRTL
AGE,2.66354E-06,0,1.81964E-05,5.52425E-05,3.92714E-05,9.58692E-05,3.45726E-05,0,2.79679E-06,0,2.6959E-06,1.23397E-05,8.1606E-06
1b.RACE,0,0,0,0,0,0,0,0,0,0,0,0,0
2.RACE,1.81964E-05,0,0.013901376,0.003353396,0.00303163,0.002410407,0.002680323,0,0.000143778,0,0.002755141,0.00294329,0.003132887
3.RACE,5.52425E-05,0,0.003353396,0.015759486,0.003592897,0.004020282,0.00304502,0,0.000701857,0,0.001767599,0.001253022,0.001712257
4.RACE,3.92714E-05,0,0.00303163,0.003592897,0.060471309,0.003923785,0.003171774,0,0.001785672,0,0.001675575,0.0016801,0.00030001
5.RACE,9.58692E-05,0,0.002410407,0.004020282,0.003923785,1.016338128,0.006380693,0,-0.002115887,0,0.000451827,0.001328735,-0.007917856
6.RACE,3.45726E-05,0,0.002680323,0.00304502,0.003171774,0.006380693,0.042732116,0,-0.000904542,0,0.000887918,0.001595405,-0.002083983
0b.FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0
1.FEMALE,2.79679E-06,0,0.000143778,0.000701857,0.001785672,-0.002115887,-0.000904542,0,0.006702916,0,-6.73052E-05,-0.000527885,-0.000573032
1b.ZIPINC_QRTL,0,0,0,0,0,0,0,0,0,0,0,0,0
2.ZIPINC_QRTL,2.6959E-06,0,0.002755141,0.001767599,0.001675575,0.000451827,0.000887918,0,-6.73052E-05,0,0.011719826,0.006431091,0.006621967
3.ZIPINC_QRTL,1.23397E-05,0,0.00294329,0.001253022,0.0016801,0.001328735,0.001595405,0,-0.000527885,0,0.006431091,0.013600289,0.006510486
4.ZIPINC_QRTL,8.1606E-06,0,0.003132887,0.001712257,0.00030001,-0.007917856,-0.002083983,0,-0.000573032,0,0.006621967,0.006510486,0.015363961
# flick 20250409213608-8KXN
# flick 20250409214214-1mZv
# flick 20250409214630-gxRx
# flick 20250409220129-Vwx9
# flick 20250409230604-t7PU
# flick 20250410013245-yIQJ
# flick 20250410032004-XcvV
# flick 20250410032116-LjXz
# flick 20250410145604-nWPd
# flick 20250410162735-ixYk
# flick 20250410204400-Aesw
# flick 20250410214249-k3MY
# flick 20250410232150-Hm39
# flick 20250413010201-T4U4
# flick 20250413011142-nYGV
# flick 20250413132131-SQ4f
# flick 20250414181113-7oF2
# flick 20250415203937-Fr54
# flick 20250415210427-luSt
# flick 20250416152309-yheK
# flick 20250416191901-NpSy
# flick 20250416214302-lN3w
# flick 20250416222354-zt7q
# flick 20250416223143-C70l
# flick 20250416224617-WMFx
# flick 20250416230555-7j8V
# flick 20250417001514-nY5a
# flick 20250417001813-g6zO
# flick 20250417033847-2G3w
# flick 20250417034852-WGAb
# flick 20250417183514-NcIC
# flick 20250417185034-cqth
# flick 20250417190020-oVNh
# flick 20250417210324-S5wb
# flick 20250417212533-uDvj
# flick 20250417215302-5zxO
# flick 20250418025027-AI5e
# flick 20250418042249-PGJm
# flick 20250422032349-xrjR
# flick 20250422214551-KSef
# flick 20250422235231-DSKS
# flick 20250423014059-ZSqr
# flick 20250423014454-6fPV
# flick 20250423021929-Oext
# flick 20250423161903-nTEV
# flick 20250423173643-BAin
# flick 20250423200221-2sMR
